Date,Time,Latitude,Longitude,Magnitude,Epicenter
2077-9-15,01:49,27.66,86.34,4.6,Ramechhap
2077-8-23,19:08,27.77,87.86,4.2,Taplejung
2077-8-17,13:42,27.75,85.87,4.2,Sindhupalchok
2077-7-24,03:29,27.73,87.87,4.9,Taplejung
2077-7-13,00:19,29.58,80.81,4.2,Bajhang
2077-7-8,16:17,27.62,86.24,4.0,Dolakha
2077-5-31,05:19,27.77,85.88,6.0,Sindhupalchowk
2077-5-26,09:30,26.76,88.21,5.0,Nepal India  Border
2077-5-24,15:48,27.92,84.94,4.0,Dhading
2077-5-19,07:20,27.58,87.19,4.0,Sankhuwasabha
2077-5-9,21:09,29.59,80.89,4.7,Bajhang
2077-4-31,16:07,27.8,87.62,4.2,Sankhuwasabha
2077-3-2,09:53,27.88,86.20,4.1,Dolakha
2077-2-17,21:36,27.85,84.93,4.8,Dhading
2077-2-13,16:00,29.73,82.01,4.2,Humla/Mugu
2077-1-30,23:53,27.65,86.15,5.3,Dolakha
2077-1-4,00:55,27.55,86.59,4.7,Solukhumbu
2076-12-20,20:55,29.58,80.96,4.0,Bajhang
2076-12-12,18:36,28.01,84.97,4.0,Dhading
2076-12-2,20:45,28.34,83.80,5.0,Kaski
2076-11-21,19:17,27.79,86.18,4.3,Dolakha
2076-11-7,21:13,29.71,81.69,4.3,Bajura/Humla
2076-10-14,07:59,29.61,81.71,4.2,Bajura
2076-9-28,02:07,29.59,81.73,4.2,Bajura
2076-9-27,20:19,29.58,81.71,4.5,Bajura
